direction,model,model_seed,source_n,target_n,label_level,n_shared_classes,target_coverage,classifier,accuracy,balanced_accuracy,macro_f1,weighted_f1,query_adaptation_epochs,source_training_epochs,source_training_runtime,query_runtime,gpu_peak_allocated_mb,gpu_peak_reserved_mb,query_gpu_peak_allocated_mb,process_peak_rss_mb,n_eval_source,n_eval_target,target_asw,target_knn_purity_15,target_leiden_ari,target_leiden_nmi,dataset_asw,latent_spaces_aligned_by
pbmc5k_to_pbmc10k,totalvi,1,3994,6855,l1,8,1.0,knn15,0.8785644051130777,0.7725660749443742,0.8084195394628757,0.865625659887394,200,200,106.39802514999974,167.4940893790008,428.06494140625,450.0,379.4755859375,4627.05078125,3392,6102,,,,,,
pbmc5k_to_pbmc10k,totalvi,1,3994,6855,l1,8,1.0,knn30,0.8643067846607669,0.7438395429138476,0.7832772291053638,0.8473291978484079,200,200,106.39802514999974,167.4940893790008,428.06494140625,450.0,379.4755859375,4627.05078125,3392,6102,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,2,6855,3994,l2,22,0.9932193396226415,logreg,0.8165627782724845,0.6843356843495505,0.6850659240505798,0.803928178918973,200,200,112.6400193190002,55.44138384299913,406.35498046875,412.0,309.50439453125,5279.0390625,6040,3369,0.10555560886859894,0.7156643081761006,0.46911844474928066,0.679671582146578,0.033811863511800766,scArches: source encoded by the source model; query encoded by the adapted model
pbmc10k_to_pbmc5k,scvi_matched,2,6855,3994,l2,22,0.9932193396226415,knn15,0.769664588898783,0.5961064216097094,0.587716890474023,0.744657127556543,200,200,112.6400193190002,55.44138384299913,406.35498046875,412.0,309.50439453125,5279.0390625,6040,3369,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,2,6855,3994,l2,22,0.9932193396226415,knn30,0.7619471653309587,0.581037877495051,0.5689573953621158,0.7321944268884196,200,200,112.6400193190002,55.44138384299913,406.35498046875,412.0,309.50439453125,5279.0390625,6040,3369,,,,,,
pbmc10k_to_pbmc5k,totalvi,2,6855,3994,l2,22,0.9932193396226415,logreg,0.8159691303057287,0.6560746958664262,0.6608133691968153,0.798574818022732,200,200,175.7081719429989,103.27430605300106,428.06494140625,446.0,379.4755859375,5279.0390625,6040,3369,0.08784769475460052,0.7321540880503145,0.5215727380242218,0.6972705755089799,-0.0005447453586384654,scArches: source encoded by the source model; query encoded by the adapted model
pbmc10k_to_pbmc5k,totalvi,2,6855,3994,l2,22,0.9932193396226415,knn15,0.7625408132977145,0.5842142446089901,0.5733226335454367,0.7373682990870727,200,200,175.7081719429989,103.27430605300106,428.06494140625,446.0,379.4755859375,5279.0390625,6040,3369,,,,,,
pbmc10k_to_pbmc5k,totalvi,2,6855,3994,l2,22,0.9932193396226415,knn30,0.7533392698130009,0.568735632745425,0.5547429559898405,0.7250449214483891,200,200,175.7081719429989,103.27430605300106,428.06494140625,446.0,379.4755859375,5279.0390625,6040,3369,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,2,6855,3994,l1,8,1.0,logreg,0.9086084905660378,0.8103912531950934,0.8191589257953262,0.8995581861812423,200,200,112.6400193190002,55.44138384299913,406.35498046875,412.0,309.50439453125,5279.0390625,6102,3392,0.19518183171749115,0.8583136792452829,0.4568743706112163,0.6496494208621523,0.033811863511800766,scArches: source encoded by the source model; query encoded by the adapted model
pbmc10k_to_pbmc5k,scvi_matched,2,6855,3994,l1,8,1.0,knn15,0.8903301886792453,0.7625707437002991,0.7808818511615182,0.874514462302717,200,200,112.6400193190002,55.44138384299913,406.35498046875,412.0,309.50439453125,5279.0390625,6102,3392,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,2,6855,3994,l1,8,1.0,knn30,0.8829599056603774,0.7453339713745871,0.7630436451641587,0.8655151474812821,200,200,112.6400193190002,55.44138384299913,406.35498046875,412.0,309.50439453125,5279.0390625,6102,3392,,,,,,
pbmc10k_to_pbmc5k,totalvi,2,6855,3994,l1,8,1.0,logreg,0.8982900943396226,0.7968905273096871,0.7974421388484549,0.8911140221506016,200,200,175.7081719429989,103.27430605300106,428.06494140625,446.0,379.4755859375,5279.0390625,6102,3392,0.19803054630756378,0.8702044025157234,0.48628212570851365,0.6569079223187391,-0.0005447453586384654,scArches: source encoded by the source model; query encoded by the adapted model
pbmc10k_to_pbmc5k,totalvi,2,6855,3994,l1,8,1.0,knn15,0.8803066037735849,0.7504663424945965,0.7508259865726743,0.8641608161355525,200,200,175.7081719429989,103.27430605300106,428.06494140625,446.0,379.4755859375,5279.0390625,6102,3392,,,,,,
pbmc10k_to_pbmc5k,totalvi,2,6855,3994,l1,8,1.0,knn30,0.8761792452830188,0.7416360904164638,0.7429733122749804,0.859196980222387,200,200,175.7081719429989,103.27430605300106,428.06494140625,446.0,379.4755859375,5279.0390625,6102,3392,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,2,3994,6855,l2,21,0.9773844641101278,logreg,0.778504359490275,0.6220224837240542,0.6114909059169635,0.7490534772805836,175,200,69.48080642999957,84.59273304700037,406.35498046875,420.0,309.50439453125,5838.1484375,3355,5964,0.1339494287967682,0.7625477985359991,0.6424249164131111,0.7472623515507143,0.08683307468891144,scArches: source encoded by the source model; query encoded by the adapted model
pbmc5k_to_pbmc10k,scvi_matched,2,3994,6855,l2,21,0.9773844641101278,knn15,0.721830985915493,0.5351572713026835,0.5168927026978923,0.6701644122014858,175,200,69.48080642999957,84.59273304700037,406.35498046875,420.0,309.50439453125,5838.1484375,3355,5964,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,2,3994,6855,l2,21,0.9773844641101278,knn30,0.7231723675385647,0.5155776726220387,0.499099765230348,0.6651767269449159,175,200,69.48080642999957,84.59273304700037,406.35498046875,420.0,309.50439453125,5838.1484375,3355,5964,,,,,,
pbmc5k_to_pbmc10k,totalvi,2,3994,6855,l2,21,0.9773844641101278,logreg,0.7934272300469484,0.6976071614303583,0.6842905968841125,0.7938411554548687,200,200,111.67697568800031,179.61085568400085,428.06494140625,450.0,379.4755859375,5838.1484375,3355,5964,0.13877229392528534,0.7983502676718016,0.7455326266800503,0.8013242511289067,0.07489380240440369,scArches: source encoded by the source model; query encoded by the adapted model
pbmc5k_to_pbmc10k,totalvi,2,3994,6855,l2,21,0.9773844641101278,knn15,0.756036217303823,0.5923858903117519,0.5979480297251991,0.7274702792469381,200,200,111.67697568800031,179.61085568400085,428.06494140625,450.0,379.4755859375,5838.1484375,3355,5964,,,,,,
pbmc5k_to_pbmc10k,totalvi,2,3994,6855,l2,21,0.9773844641101278,knn30,0.750335345405768,0.5621949173008667,0.5601666792597524,0.7035889967829659,200,200,111.67697568800031,179.61085568400085,428.06494140625,450.0,379.4755859375,5838.1484375,3355,5964,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,2,3994,6855,l1,8,1.0,logreg,0.8392330383480826,0.7297763468695053,0.755450518696078,0.8151486363779707,175,200,69.48080642999957,84.59273304700037,406.35498046875,420.0,309.50439453125,5838.1484375,3392,6102,0.2413112074136734,0.8659892931279362,0.575447887673663,0.7096596349595587,0.08683307468891144,scArches: source encoded by the source model; query encoded by the adapted model
pbmc5k_to_pbmc10k,scvi_matched,2,3994,6855,l1,8,1.0,knn15,0.8044903310390036,0.6869569777798583,0.6877212438528026,0.7622517266171656,175,200,69.48080642999957,84.59273304700037,406.35498046875,420.0,309.50439453125,5838.1484375,3392,6102,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,2,3994,6855,l1,8,1.0,knn30,0.8085873484103573,0.6855799573796706,0.6924577993436203,0.7660221497183464,175,200,69.48080642999957,84.59273304700037,406.35498046875,420.0,309.50439453125,5838.1484375,3392,6102,,,,,,
pbmc5k_to_pbmc10k,totalvi,2,3994,6855,l1,8,1.0,logreg,0.8992133726647001,0.8713489976938602,0.8613648711661417,0.9009557376430293,200,200,111.67697568800031,179.61085568400085,428.06494140625,450.0,379.4755859375,5838.1484375,3392,6102,0.22617579996585846,0.9029280017480608,0.655183031108012,0.7649304760436393,0.07489380240440369,scArches: source encoded by the source model; query encoded by the adapted model
pbmc5k_to_pbmc10k,totalvi,2,3994,6855,l1,8,1.0,knn15,0.8492297607341855,0.75974153236752,0.789444753404949,0.8338379514379342,200,200,111.67697568800031,179.61085568400085,428.06494140625,450.0,379.4755859375,5838.1484375,3392,6102,,,,,,
pbmc5k_to_pbmc10k,totalvi,2,3994,6855,l1,8,1.0,knn30,0.8418551294657489,0.7346478518173515,0.7715344619359606,0.8197275654522038,200,200,111.67697568800031,179.61085568400085,428.06494140625,450.0,379.4755859375,5838.1484375,3392,6102,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,3,6855,3994,l2,22,0.9932193396226415,logreg,0.8026120510537251,0.6734256286201439,0.6651163604208098,0.7933444580077756,200,200,117.87426249700002,59.34506134399999,406.35498046875,412.0,309.50439453125,6476.11328125,6040,3369,0.10408292710781097,0.7203223270440251,0.5333346478210724,0.7056980162640476,0.026610005646944046,scArches: source encoded by the source model; query encoded by the adapted model
pbmc10k_to_pbmc5k,scvi_matched,3,6855,3994,l2,22,0.9932193396226415,knn15,0.7773820124666073,0.6019300122940304,0.58512325767554,0.7520582976606532,200,200,117.87426249700002,59.34506134399999,406.35498046875,412.0,309.50439453125,6476.11328125,6040,3369,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,3,6855,3994,l2,22,0.9932193396226415,knn30,0.780053428317008,0.6003769923414329,0.582164965196016,0.7507324745365285,200,200,117.87426249700002,59.34506134399999,406.35498046875,412.0,309.50439453125,6476.11328125,6040,3369,,,,,,
