direction,model,coverage,cell_type,original_n,retained_n,retention_rate
direction_A,scvi_matched,0.8,Eryth,86,73.7,0.8569767441860465
direction_A,scvi_matched,0.8,B memory,79,68.4,0.8658227848101266
direction_A,scvi_matched,0.8,gdT,71,40.4,0.5690140845070423
direction_A,scvi_matched,0.8,B intermediate,66,50.3,0.7621212121212121
direction_A,scvi_matched,0.8,Treg,59,28.15,0.4771186440677966
direction_A,scvi_matched,0.8,CD8 Naive,48,37.9,0.7895833333333333
direction_A,scvi_matched,0.8,CD4 CTL,41,18.75,0.4573170731707317
direction_A,scvi_matched,0.8,CD8 TCM,34,17.3,0.5088235294117647
direction_A,scvi_matched,0.8,NK_CD56bright,30,24.65,0.8216666666666667
direction_A,scvi_matched,0.8,MAIT,24,18.55,0.7729166666666667
direction_A,scvi_matched,0.8,pDC,23,22.95,0.9978260869565218
direction_A,scvi_matched,0.8,dnT,14,6.45,0.46071428571428574
direction_A,scvi_matched,0.7,CD14 Mono,937,913.1,0.9744930629669157
direction_A,scvi_matched,0.7,CD4 Naive,378,140.25,0.37103174603174605
direction_A,scvi_matched,0.7,CD4 TCM,327,181.4,0.5547400611620795
direction_A,scvi_matched,0.7,CD4 TEM,272,125.0,0.45955882352941174
direction_A,scvi_matched,0.7,NK,251,244.95,0.9758964143426294
direction_A,scvi_matched,0.7,CD8 TEM,147,64.4,0.43809523809523815
direction_A,scvi_matched,0.7,CD16 Mono,131,116.2,0.8870229007633588
direction_A,scvi_matched,0.7,B naive,128,99.45,0.776953125
direction_A,scvi_matched,0.7,cDC2,125,116.15,0.9292
direction_A,scvi_matched,0.7,ILC,98,35.6,0.363265306122449
direction_A,scvi_matched,0.7,Eryth,86,61.35,0.7133720930232559
direction_A,scvi_matched,0.7,B memory,79,57.4,0.7265822784810126
direction_A,scvi_matched,0.7,gdT,71,28.9,0.4070422535211267
direction_A,scvi_matched,0.7,B intermediate,66,37.4,0.5666666666666667
direction_A,scvi_matched,0.7,Treg,59,17.25,0.2923728813559322
direction_A,scvi_matched,0.7,CD8 Naive,48,32.8,0.6833333333333332
direction_A,scvi_matched,0.7,CD4 CTL,41,10.8,0.2634146341463415
direction_A,scvi_matched,0.7,CD8 TCM,34,12.1,0.3558823529411765
direction_A,scvi_matched,0.7,NK_CD56bright,30,21.05,0.7016666666666667
direction_A,scvi_matched,0.7,MAIT,24,15.7,0.6541666666666667
direction_A,scvi_matched,0.7,pDC,23,22.6,0.982608695652174
direction_A,scvi_matched,0.7,dnT,14,4.15,0.29642857142857143
direction_A,scvi_matched,0.6,CD14 Mono,937,895.3,0.955496264674493
direction_A,scvi_matched,0.6,CD4 Naive,378,79.4,0.21005291005291007
direction_A,scvi_matched,0.6,CD4 TCM,327,130.1,0.39785932721712536
direction_A,scvi_matched,0.6,CD4 TEM,272,69.75,0.25643382352941174
direction_A,scvi_matched,0.6,NK,251,241.55,0.9623505976095618
direction_A,scvi_matched,0.6,CD8 TEM,147,44.4,0.3020408163265306
direction_A,scvi_matched,0.6,CD16 Mono,131,108.7,0.8297709923664123
direction_A,scvi_matched,0.6,B naive,128,84.75,0.662109375
direction_A,scvi_matched,0.6,cDC2,125,112.3,0.8984
direction_A,scvi_matched,0.6,ILC,98,20.75,0.21173469387755103
direction_A,scvi_matched,0.6,Eryth,86,45.45,0.5284883720930232
direction_A,scvi_matched,0.6,B memory,79,45.4,0.5746835443037974
direction_A,scvi_matched,0.6,gdT,71,18.45,0.25985915492957745
direction_A,scvi_matched,0.6,B intermediate,66,23.3,0.353030303030303
direction_A,scvi_matched,0.6,Treg,59,9.5,0.16101694915254236
direction_A,scvi_matched,0.6,CD8 Naive,48,26.05,0.5427083333333333
direction_A,scvi_matched,0.6,CD4 CTL,41,5.25,0.12804878048780488
direction_A,scvi_matched,0.6,CD8 TCM,34,7.3,0.21470588235294116
direction_A,scvi_matched,0.6,NK_CD56bright,30,16.5,0.55
direction_A,scvi_matched,0.6,MAIT,24,12.65,0.5270833333333333
direction_A,scvi_matched,0.6,pDC,23,22.0,0.9565217391304348
direction_A,scvi_matched,0.6,dnT,14,2.15,0.15357142857142855
direction_A,scvi_matched,0.5,CD14 Mono,937,864.8,0.9229455709711846
direction_A,scvi_matched,0.5,CD4 Naive,378,32.5,0.08597883597883597
direction_A,scvi_matched,0.5,CD4 TCM,327,78.35,0.2396024464831804
direction_A,scvi_matched,0.5,CD4 TEM,272,22.95,0.08437499999999999
direction_A,scvi_matched,0.5,NK,251,233.5,0.9302788844621513
direction_A,scvi_matched,0.5,CD8 TEM,147,24.6,0.1673469387755102
direction_A,scvi_matched,0.5,CD16 Mono,131,99.05,0.7561068702290076
direction_A,scvi_matched,0.5,B naive,128,66.65,0.520703125
direction_A,scvi_matched,0.5,cDC2,125,106.5,0.852
direction_A,scvi_matched,0.5,ILC,98,9.65,0.09846938775510204
direction_A,scvi_matched,0.5,Eryth,86,27.8,0.3232558139534884
direction_A,scvi_matched,0.5,B memory,79,30.3,0.38354430379746834
direction_A,scvi_matched,0.5,gdT,71,9.95,0.14014084507042252
direction_A,scvi_matched,0.5,B intermediate,66,11.25,0.17045454545454544
direction_A,scvi_matched,0.5,Treg,59,3.35,0.05677966101694915
direction_A,scvi_matched,0.5,CD8 Naive,48,16.0,0.3333333333333333
direction_A,scvi_matched,0.5,CD4 CTL,41,0.8,0.01951219512195122
direction_A,scvi_matched,0.5,CD8 TCM,34,2.55,0.075
direction_A,scvi_matched,0.5,NK_CD56bright,30,12.0,0.4
direction_A,scvi_matched,0.5,MAIT,24,9.55,0.3979166666666667
direction_A,scvi_matched,0.5,pDC,23,21.05,0.9152173913043479
direction_A,scvi_matched,0.5,dnT,14,0.85,0.060714285714285714
direction_A,totalvi,1.0,CD14 Mono,937,937.0,1.0
direction_A,totalvi,1.0,CD4 Naive,378,378.0,1.0
direction_A,totalvi,1.0,CD4 TCM,327,327.0,1.0
direction_A,totalvi,1.0,CD4 TEM,272,272.0,1.0
direction_A,totalvi,1.0,NK,251,251.0,1.0
direction_A,totalvi,1.0,CD8 TEM,147,147.0,1.0
direction_A,totalvi,1.0,CD16 Mono,131,131.0,1.0
direction_A,totalvi,1.0,B naive,128,128.0,1.0
direction_A,totalvi,1.0,cDC2,125,125.0,1.0
direction_A,totalvi,1.0,ILC,98,98.0,1.0
direction_A,totalvi,1.0,Eryth,86,86.0,1.0
direction_A,totalvi,1.0,B memory,79,79.0,1.0
direction_A,totalvi,1.0,gdT,71,71.0,1.0
direction_A,totalvi,1.0,B intermediate,66,66.0,1.0
direction_A,totalvi,1.0,Treg,59,59.0,1.0
direction_A,totalvi,1.0,CD8 Naive,48,48.0,1.0
direction_A,totalvi,1.0,CD4 CTL,41,41.0,1.0
direction_A,totalvi,1.0,CD8 TCM,34,34.0,1.0
direction_A,totalvi,1.0,NK_CD56bright,30,30.0,1.0
direction_A,totalvi,1.0,MAIT,24,24.0,1.0
direction_A,totalvi,1.0,pDC,23,23.0,1.0
direction_A,totalvi,1.0,dnT,14,14.0,1.0
direction_A,totalvi,0.9,CD14 Mono,937,931.7,0.9943436499466383
direction_A,totalvi,0.9,CD4 Naive,378,332.9,0.8806878306878306
direction_A,totalvi,0.9,CD4 TCM,327,273.85,0.8374617737003058
direction_A,totalvi,0.9,CD4 TEM,272,238.65,0.877389705882353
direction_A,totalvi,0.9,NK,251,250.1,0.996414342629482
direction_A,totalvi,0.9,CD8 TEM,147,109.4,0.7442176870748299
direction_A,totalvi,0.9,CD16 Mono,131,126.95,0.9690839694656489
direction_A,totalvi,0.9,B naive,128,123.7,0.96640625
direction_A,totalvi,0.9,cDC2,125,123.1,0.9848
direction_A,totalvi,0.9,ILC,98,66.3,0.676530612244898
direction_A,totalvi,0.9,Eryth,86,79.8,0.927906976744186
direction_A,totalvi,0.9,B memory,79,72.7,0.920253164556962
direction_A,totalvi,0.9,gdT,71,46.05,0.6485915492957746
direction_A,totalvi,0.9,B intermediate,66,56.1,0.85
direction_A,totalvi,0.9,Treg,59,37.75,0.6398305084745762
direction_A,totalvi,0.9,CD8 Naive,48,40.55,0.8447916666666666
direction_A,totalvi,0.9,CD4 CTL,41,27.65,0.674390243902439
direction_A,totalvi,0.9,CD8 TCM,34,16.85,0.49558823529411766
direction_A,totalvi,0.9,NK_CD56bright,30,24.25,0.8083333333333333
direction_A,totalvi,0.9,MAIT,24,21.1,0.8791666666666668
direction_A,totalvi,0.9,pDC,23,22.85,0.9934782608695653
direction_A,totalvi,0.9,dnT,14,9.7,0.6928571428571428
