direction,seed,metric,delta_mean_bootstrap,cell_bootstrap_ci_low,cell_bootstrap_ci_high,excludes_zero
direction_A,15,aurc,-0.013997269410634748,-0.018674051404345752,-0.009264247478444421,True
direction_A,16,error_auroc_predictive,0.009021930255542116,-0.0072664001152792585,0.024656289565419647,False
direction_A,16,error_auprc_predictive,0.01563260297546713,-0.0393264299047767,0.06652268713759826,False
direction_A,16,ece_equal_frequency,0.005565257265115567,-0.006713154627484028,0.01729613720041579,False
direction_A,16,brier,-0.014466406023071438,-0.026061085943024993,-0.0031770972890565524,True
direction_A,16,aurc,-0.005253701708763475,-0.010164515426028212,-0.0007504915985258103,True
direction_A,17,error_auroc_predictive,0.008025581534822608,-0.009150161444117816,0.02723820686801088,False
direction_A,17,error_auprc_predictive,-0.021552365406243175,-0.07712441263818136,0.031106765777905103,False
direction_A,17,ece_equal_frequency,-0.010814515955337044,-0.02420106283263252,0.0027209306242479015,False
direction_A,17,brier,-0.01573470334898806,-0.02807049837892577,-0.002975581440818037,True
direction_A,17,aurc,-0.006857889327181879,-0.011909013597885704,-0.0015314080251431408,True
direction_A,18,error_auroc_predictive,0.024952531997879064,0.010644015225427572,0.03797220870419192,True
direction_A,18,error_auprc_predictive,0.09671759766001767,0.03804842799909192,0.14517729242661098,True
direction_A,18,ece_equal_frequency,0.009525421762986574,-0.0034900257859846917,0.021683740377664993,False
direction_A,18,brier,0.008164808947513416,-0.0034942766358886717,0.019696243528066256,False
direction_A,18,aurc,-0.0019898321544529456,-0.006231734949234465,0.0018456504747602547,False
direction_A,19,error_auroc_predictive,0.00515211045296951,-0.008905800978087164,0.019981799590476117,False
direction_A,19,error_auprc_predictive,0.03358748307056554,-0.012731108241326172,0.08397164142075352,False
direction_A,19,ece_equal_frequency,0.006287639125487187,-0.005833623311699391,0.017768604830504527,False
direction_A,19,brier,0.013883224260693357,0.004154123544099393,0.023807889254961214,True
direction_A,19,aurc,0.0036121973040136235,-0.00011531372889250467,0.007288298635059971,False
direction_B,0,error_auroc_predictive,0.010571855395886707,-0.0011350610681688902,0.021875350034938384,False
direction_B,0,error_auprc_predictive,0.007027755139391871,-0.029663340108726746,0.04485144385976539,False
direction_B,0,ece_equal_frequency,0.016957083937582714,0.006405593099423606,0.028277937341094156,True
direction_B,0,brier,-0.010756568186637795,-0.018540699092520187,-0.003532556271719919,True
direction_B,0,aurc,-0.003250327215199659,-0.006751868258147464,-4.0167835998420274e-05,True
direction_B,1,error_auroc_predictive,-0.03861838157515206,-0.05169097261424065,-0.025999524648318298,True
direction_B,1,error_auprc_predictive,-0.04198790448947213,-0.07862960505147229,-0.005890188864652481,True
direction_B,1,ece_equal_frequency,0.008420882568822698,-0.0031156843185854545,0.020724827059033054,False
direction_B,1,brier,0.008326435689412392,-0.0070253217177076764,0.022708853203734496,False
direction_B,1,aurc,0.023260695277827103,0.01630995631841834,0.030424774998777167,True
direction_B,2,error_auroc_predictive,-0.013942044975921618,-0.027717691648742073,-0.0011416215253260977,True
direction_B,2,error_auprc_predictive,-0.04361033662267414,-0.0842011099681014,-0.007976284111640168,True
direction_B,2,ece_equal_frequency,0.024196493687794,0.011870457763183373,0.034567961118937944,True
direction_B,2,brier,-0.029975325982549938,-0.03993268418810043,-0.020542396886270516,True
direction_B,2,aurc,-0.0024106221033669876,-0.006992540423028213,0.0025752944068447967,False
