direction,seed,metric,scvi,totalvi,delta
direction_A,11,ece_equal_frequency,0.0206768242744565,0.0165726385013255,-0.004104185773131
direction_A,12,ece_equal_frequency,0.035848664968507,0.0263864817305112,-0.0094621832379958
direction_A,13,ece_equal_frequency,0.0342125125952522,0.0306250011931544,-0.003587511402097801
direction_A,14,ece_equal_frequency,0.033878604668331,0.0355011732951934,0.0016225686268624001
direction_A,15,ece_equal_frequency,0.0390825744869801,0.0149490840005464,-0.0241334904864337
direction_A,16,ece_equal_frequency,0.0234959910251366,0.0319729098830671,0.008476918857930501
direction_A,17,ece_equal_frequency,0.0295514821581615,0.0168182772569608,-0.012733204901200702
direction_A,18,ece_equal_frequency,0.0242087481442245,0.0347722200513699,0.010563471907145402
direction_A,19,ece_equal_frequency,0.0211701405600363,0.0300830384148586,0.0089128978548223
direction_A,0,ece_equal_width,0.0388378999678378,0.0249837208179876,-0.0138541791498502
direction_A,1,ece_equal_width,0.0345020961667706,0.0241755334426543,-0.010326562724116299
direction_A,2,ece_equal_width,0.0254484320136268,0.0205916314122938,-0.004856800601333002
direction_A,3,ece_equal_width,0.0154244888338358,0.0211859536599107,0.005761464826074899
direction_A,4,ece_equal_width,0.0347885029071443,0.0170591287370179,-0.0177293741701264
direction_A,5,ece_equal_width,0.0453983881231867,0.0154052756330881,-0.029993112490098603
direction_A,6,ece_equal_width,0.0348856656788081,0.0161039501773599,-0.018781715501448203
direction_A,7,ece_equal_width,0.0332196493173926,0.0344158727183615,0.0011962234009689002
direction_A,8,ece_equal_width,0.0377353605078674,0.0178110121477602,-0.019924348360107202
direction_A,9,ece_equal_width,0.0363813099343828,0.0216238108223359,-0.0147574991120469
direction_A,10,ece_equal_width,0.0339733957182798,0.01945540886599,-0.014517986852289801
direction_A,11,ece_equal_width,0.0248802118545188,0.0200953732420761,-0.0047848386124427
direction_A,12,ece_equal_width,0.0388187859179748,0.0238025007632904,-0.015016285154684401
direction_A,13,ece_equal_width,0.0358667184263423,0.0310466462018122,-0.004820072224530101
direction_A,14,ece_equal_width,0.0355520126558829,0.0396545360981091,0.004102523442226204
direction_A,15,ece_equal_width,0.0367819014510969,0.0150093879295265,-0.0217725135215704
direction_A,16,ece_equal_width,0.0259456024498287,0.0322373837329896,0.006291781283160901
direction_A,17,ece_equal_width,0.0276155596177137,0.0159554039557987,-0.011660155661915
direction_A,18,ece_equal_width,0.0239339037584104,0.0352416958855606,0.0113077921271502
direction_A,19,ece_equal_width,0.0194639947257646,0.030778549428013,0.0113145547022484
direction_A,0,aurc,0.0645701545546108,0.0448705631683499,-0.019699591386260908
direction_A,1,aurc,0.0634739540392167,0.0545534418436215,-0.008920512195595198
