donor,model,metric,within_donor_seed_sd
Donor02,scvi_matched,full_aurc,0.003390306928899903
Donor02,totalvi,full_aurc,0.0023270596400806333
Donor03,scvi_matched,full_aurc,0.005157952086072491
Donor03,totalvi,full_aurc,0.0012000153036650914
Donor04,scvi_matched,full_aurc,0.005379384724283528
Donor04,totalvi,full_aurc,0.0026965857550325673
Donor05,scvi_matched,full_aurc,0.006088093606606594
Donor05,totalvi,full_aurc,0.004657197937237286
Donor06,scvi_matched,full_aurc,0.005992678802543805
Donor06,totalvi,full_aurc,0.002946179980132684
Donor07,scvi_matched,full_aurc,0.008843879881646336
Donor07,totalvi,full_aurc,0.004946528313079264
Donor08,scvi_matched,full_aurc,0.007971736762732183
Donor08,totalvi,full_aurc,0.0031138008404742123
Donor09,scvi_matched,full_aurc,0.003188448104872887
Donor09,totalvi,full_aurc,0.0029052694988191603
Donor10,scvi_matched,full_aurc,0.005165934706792817
Donor10,totalvi,full_aurc,0.0024338711607106095
Donor01,scvi_matched,paurc_0.5_1.0,0.011969948601456799
Donor01,totalvi,paurc_0.5_1.0,0.0032237356095445504
Donor02,scvi_matched,paurc_0.5_1.0,0.006461635606566762
Donor02,totalvi,paurc_0.5_1.0,0.00456297793464175
Donor03,scvi_matched,paurc_0.5_1.0,0.009190255576785385
Donor03,totalvi,paurc_0.5_1.0,0.0023282373865505935
Donor04,scvi_matched,paurc_0.5_1.0,0.010283259820616354
Donor04,totalvi,paurc_0.5_1.0,0.00464343649254122
Donor05,scvi_matched,paurc_0.5_1.0,0.009807100516066779
Donor05,totalvi,paurc_0.5_1.0,0.008401302456672846
Donor06,scvi_matched,paurc_0.5_1.0,0.007757776821172899
Donor06,totalvi,paurc_0.5_1.0,0.004888702132762414
Donor07,scvi_matched,paurc_0.5_1.0,0.013708382450758606
Donor07,totalvi,paurc_0.5_1.0,0.008708294071585803
Donor08,scvi_matched,paurc_0.5_1.0,0.013223675217778046
Donor08,totalvi,paurc_0.5_1.0,0.0059746703957971785
Donor09,scvi_matched,paurc_0.5_1.0,0.005822868227519936
Donor09,totalvi,paurc_0.5_1.0,0.005243168304253982
Donor10,scvi_matched,paurc_0.5_1.0,0.009596661279268132
Donor10,totalvi,paurc_0.5_1.0,0.0036382294681921484
Donor01,scvi_matched,e_aurc,0.004997040010922141
Donor01,totalvi,e_aurc,0.0020610907774956796
Donor02,scvi_matched,e_aurc,0.0037557652901420466
Donor02,totalvi,e_aurc,0.0020562416860260887
Donor03,scvi_matched,e_aurc,0.0027761029543883517
Donor03,totalvi,e_aurc,0.0009415972734027642
Donor04,scvi_matched,e_aurc,0.002466928466618009
Donor04,totalvi,e_aurc,0.001849450697254406
Donor05,scvi_matched,e_aurc,0.005159780852133093
Donor05,totalvi,e_aurc,0.0031413084134874797
Donor06,scvi_matched,e_aurc,0.006926959141981544
Donor06,totalvi,e_aurc,0.0020577798996534295
Donor07,scvi_matched,e_aurc,0.006923925598836132
Donor07,totalvi,e_aurc,0.004229060342190399
Donor08,scvi_matched,e_aurc,0.004980393062470938
Donor08,totalvi,e_aurc,0.0025870059588611336
Donor09,scvi_matched,e_aurc,0.0027908436083256814
Donor09,totalvi,e_aurc,0.0024701629543833724
Donor10,scvi_matched,e_aurc,0.002589668019327852
Donor10,totalvi,e_aurc,0.0019450693656551568
Donor01,scvi_matched,risk_100,0.019415222757347774
Donor01,totalvi,risk_100,0.011838147837056782
Donor02,scvi_matched,risk_100,0.008971366312632113
Donor02,totalvi,risk_100,0.011117029536352008
