donor,metric,scvi_mean_over_seeds,totalvi_mean_over_seeds,delta,median_delta,sd_delta_across_donors,n_donors_positive,n_donors_negative,n_donors_equal,n_donors
Donor09,nll,0.47430305778980253,0.29876414239406585,-0.17553891539573668,,,,,,
Donor10,nll,0.5946722686290741,0.37962324023246763,-0.21504902839660645,,,,,,
SUMMARY,nll,0.5789660906791687,0.36729754179716106,-0.21166854888200765,-0.21795341223478318,0.023178934287951734,0.0,10.0,0.0,10.0
Donor01,brier,0.3187790334224701,0.1919671803712845,-0.1268118530511856,,,,,,
Donor02,brier,0.3022316634654999,0.19643457233905792,-0.10579709112644198,,,,,,
Donor03,brier,0.2914181351661682,0.17828797698020935,-0.11313015818595887,,,,,,
Donor04,brier,0.33421329259872434,0.1959536463022232,-0.13825964629650114,,,,,,
Donor05,brier,0.3347897559404373,0.20886045545339585,-0.12592930048704146,,,,,,
Donor06,brier,0.34312127232551576,0.20162634253501893,-0.14149492979049683,,,,,,
Donor07,brier,0.39529193937778473,0.25499787777662275,-0.14029406160116198,,,,,,
Donor08,brier,0.35236742794513704,0.2201605185866356,-0.13220690935850143,,,,,,
Donor09,brier,0.26571800708770754,0.16875629127025604,-0.0969617158174515,,,,,,
Donor10,brier,0.32676670551300047,0.2003704845905304,-0.12639622092247008,,,,,,
SUMMARY,brier,0.32646972328424456,0.20174153462052344,-0.12472818866372107,-0.12660403698682784,0.015036607385439793,0.0,10.0,0.0,10.0
Donor01,ece_equal_frequency,0.04705413557608307,0.0358986129902438,-0.011155522585839267,,,,,,
Donor02,ece_equal_frequency,0.058920328870776605,0.038900661386008076,-0.02001966748476853,,,,,,
Donor03,ece_equal_frequency,0.03994423919385022,0.03752821349861598,-0.0024160256952342404,,,,,,
Donor04,ece_equal_frequency,0.03571056915996632,0.03840161532848731,0.0026910461685209844,,,,,,
Donor05,ece_equal_frequency,0.03660157640017504,0.03295977344959199,-0.0036418029505830493,,,,,,
Donor06,ece_equal_frequency,0.0327636163431683,0.03000251333807914,-0.0027611030050891626,,,,,,
Donor07,ece_equal_frequency,0.03379055639971858,0.03996375440514606,0.006173198005427483,,,,,,
Donor08,ece_equal_frequency,0.02996750644805647,0.03799688953476903,0.008029383086712558,,,,,,
Donor09,ece_equal_frequency,0.035268916087296175,0.03472916019781855,-0.0005397558894776264,,,,,,
Donor10,ece_equal_frequency,0.04344962699354188,0.037745878725997675,-0.005703748267544204,,,,,,
SUMMARY,ece_equal_frequency,0.03934710714726326,0.03641270728547576,-0.0029343998617875054,-0.0025885643501617015,0.008222560564549444,3.0,7.0,0.0,10.0
