2026-09-09 22:42:10,493 | INFO | phase11b_crossed | direction_A__totalvi__subset0__seed03 macroF1=0.6113 AUROC=0.8381
2026-09-09 22:42:10,946 | INFO | phase11b_crossed | direction_A__totalvi__subset0__seed04 macroF1=0.6085 AUROC=0.8376
2026-09-09 22:42:11,296 | INFO | phase11b_crossed | direction_A__scvi_matched__subset1__seed00 macroF1=0.6020 AUROC=0.8428
2026-09-09 22:42:11,669 | INFO | phase11b_crossed | direction_A__scvi_matched__subset1__seed01 macroF1=0.6023 AUROC=0.8476
2026-09-09 22:42:12,016 | INFO | phase11b_crossed | direction_A__scvi_matched__subset1__seed02 macroF1=0.6081 AUROC=0.8361
2026-09-09 22:42:12,409 | INFO | phase11b_crossed | direction_A__scvi_matched__subset1__seed03 macroF1=0.5629 AUROC=0.8390
2026-09-09 22:42:12,769 | INFO | phase11b_crossed | direction_A__scvi_matched__subset1__seed04 macroF1=0.5921 AUROC=0.8356
2026-09-09 22:42:13,143 | INFO | phase11b_crossed | direction_A__totalvi__subset1__seed00 macroF1=0.6154 AUROC=0.8333
2026-09-09 22:42:13,536 | INFO | phase11b_crossed | direction_A__totalvi__subset1__seed01 macroF1=0.5824 AUROC=0.8356
2026-09-09 22:42:13,987 | INFO | phase11b_crossed | direction_A__totalvi__subset1__seed02 macroF1=0.6084 AUROC=0.8522
2026-09-09 22:42:14,461 | INFO | phase11b_crossed | direction_A__totalvi__subset1__seed03 macroF1=0.6268 AUROC=0.8461
2026-09-09 22:42:14,917 | INFO | phase11b_crossed | direction_A__totalvi__subset1__seed04 macroF1=0.6213 AUROC=0.8194
2026-09-09 22:42:15,293 | INFO | phase11b_crossed | direction_A__scvi_matched__subset2__seed00 macroF1=0.6080 AUROC=0.8426
2026-09-09 22:42:15,656 | INFO | phase11b_crossed | direction_A__scvi_matched__subset2__seed01 macroF1=0.5951 AUROC=0.8432
2026-09-09 22:42:16,017 | INFO | phase11b_crossed | direction_A__scvi_matched__subset2__seed02 macroF1=0.6057 AUROC=0.8267
2026-09-09 22:42:16,381 | INFO | phase11b_crossed | direction_A__scvi_matched__subset2__seed03 macroF1=0.5815 AUROC=0.8337
2026-09-09 22:42:16,762 | INFO | phase11b_crossed | direction_A__scvi_matched__subset2__seed04 macroF1=0.5808 AUROC=0.8430
2026-09-09 22:42:17,197 | INFO | phase11b_crossed | direction_A__totalvi__subset2__seed00 macroF1=0.6206 AUROC=0.8405
2026-09-09 22:42:17,724 | INFO | phase11b_crossed | direction_A__totalvi__subset2__seed01 macroF1=0.6223 AUROC=0.8552
2026-09-09 22:42:18,244 | INFO | phase11b_crossed | direction_A__totalvi__subset2__seed02 macroF1=0.6012 AUROC=0.8355
2026-09-09 22:42:18,724 | INFO | phase11b_crossed | direction_A__totalvi__subset2__seed03 macroF1=0.6121 AUROC=0.8407
2026-09-09 22:42:19,179 | INFO | phase11b_crossed | direction_A__totalvi__subset2__seed04 macroF1=0.6056 AUROC=0.8409
2026-09-09 22:42:19,549 | INFO | phase11b_crossed | direction_A__scvi_matched__subset3__seed00 macroF1=0.5917 AUROC=0.8414
2026-09-09 22:42:19,937 | INFO | phase11b_crossed | direction_A__scvi_matched__subset3__seed01 macroF1=0.6205 AUROC=0.8460
2026-09-09 22:42:20,295 | INFO | phase11b_crossed | direction_A__scvi_matched__subset3__seed02 macroF1=0.5912 AUROC=0.8162
2026-09-09 22:42:20,660 | INFO | phase11b_crossed | direction_A__scvi_matched__subset3__seed03 macroF1=0.6067 AUROC=0.8366
