experiment,fold,model,seed,n_cells,macro_f1,accuracy,balanced_accuracy,error_prevalence,error_auroc,error_auprc,nll,brier,ece_equal_frequency,ece_equal_width,full_aurc,paurc_0.5_1.0,e_aurc,aurc_star_perfect_ranking,risk_100,risk_90,risk_80,risk_70,risk_60,risk_50,latent_error_auroc,latent_error_auprc,table_block,n_seeds,macro_f1_mean,macro_f1_sd,nll_mean,nll_sd,brier_mean,brier_sd,ece_equal_frequency_mean,ece_equal_frequency_sd,full_aurc_historical_column_mean,full_aurc_historical_column_sd,full_aurc_from_curve,paurc_0.5_1.0_from_curve,note,accuracy_mean,balanced_accuracy_mean,error_prevalence_mean,error_auroc_mean,error_auprc_mean,latent_error_auroc_mean,ece_equal_width_mean,full_aurc_mean,full_aurc_sd
Lawlor,1.0,totalvi,0.0,1027.0,0.8951920308450424,0.8743914313534566,0.8861323774299655,0.1256085686465433,0.8464287564095924,0.3763810708396347,0.3535350263118744,0.192922443151474,0.0344297524900724,0.0344297726291296,0.0304683581654171,0.0585210956399037,0.022165720136848,0.0083026380285691,0.1256085686465433,0.0898268398268398,0.0632603406326034,0.0445062586926287,0.0227272727272727,0.0175097276264591,0.6430137601215449,0.197923015896126,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,1.0,totalvi,1.0,1027.0,0.9001566094678515,0.8821811100292113,0.8925615025316039,0.1178188899707887,0.850719719774506,0.3894410956006566,0.3426645696163177,0.1821895986795425,0.0393544737877144,0.044195595972726,0.0284303354033652,0.0520393336113991,0.0211424793881488,0.0072878560152164,0.1178188899707887,0.0768398268398268,0.0547445255474452,0.0361613351877607,0.0227272727272727,0.0194552529182879,0.6328608176892342,0.2008257594237872,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,1.0,totalvi,2.0,1027.0,0.8958910904692748,0.875365141187926,0.8894398199560646,0.124634858812074,0.8610087597330367,0.435658886637654,0.347474068403244,0.1851086020469665,0.0386622963652754,0.0420006643019493,0.0284038061439224,0.0541050369235434,0.0202317983276228,0.0081720078162996,0.124634858812074,0.0811688311688312,0.0535279805352798,0.0403337969401946,0.0259740259740259,0.0155642023346302,0.6585876668520578,0.2054232103206697,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,1.0,totalvi,3.0,1027.0,0.8943802880823243,0.8763388510223953,0.8843476729384641,0.1236611489776046,0.8618985126859143,0.4648911269274941,0.3477742075920105,0.1806813031435012,0.0358594273522627,0.0402281496749996,0.0286060426264246,0.05296045858461,0.0205635819191302,0.0080424607072943,0.1236611489776047,0.0790043290043289,0.0547445255474452,0.0375521557719054,0.0259740259740259,0.0214007782101167,0.6155380577427821,0.1826887092597381,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,1.0,totalvi,4.0,1027.0,0.8993097343098306,0.8773125608568647,0.8926629565298091,0.1226874391431353,0.8547205045540229,0.4291304373918243,0.3309433162212372,0.1823561638593673,0.0279791761396458,0.030729772749755,0.028603219606673,0.0545344406310727,0.0206892241085679,0.0079139954981051,0.1226874391431352,0.0898268398268398,0.0583941605839416,0.0333796940194714,0.0259740259740259,0.0194552529182879,0.6747969628102812,0.2126385294028753,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,1.0,totalvi,5.0,1027.0,0.8949478904110489,0.8763388510223953,0.890045111078674,0.1236611489776046,0.8468503937007874,0.4398890754653508,0.3411436080932617,0.186334028840065,0.0339993182152596,0.0362910545905353,0.0307407860198868,0.0571464593854279,0.0226983253125925,0.0080424607072943,0.1236611489776047,0.0833333333333333,0.0571776155717761,0.0403337969401946,0.0324675324675324,0.0194552529182879,0.6491863517060367,0.1829239909349623,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,1.0,totalvi,6.0,1027.0,0.8852369850861076,0.8607594936708861,0.8761097453842123,0.1392405063291139,0.8642929468721323,0.4815256263860534,0.359007328748703,0.197615310549736,0.0258794552279307,0.0240813393903915,0.0323680532702761,0.06020819261273,0.0221221860612303,0.0102458672090458,0.1392405063291139,0.0984848484848485,0.0656934306569343,0.0361613351877607,0.0275974025974026,0.0175097276264591,0.6268471347656868,0.1999529003007158,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,1.0,totalvi,7.0,1027.0,0.8920047046192556,0.8685491723466408,0.8843989034696015,0.1314508276533593,0.8581049659524995,0.4876843919187001,0.348641037940979,0.1896095126867294,0.0236789152940269,0.0247224200781735,0.0308997578863145,0.0583762691514181,0.0217905256836407,0.0091092322026737,0.1314508276533592,0.0909090909090909,0.0656934306569343,0.03894297635605,0.0275974025974026,0.0175097276264591,0.6606958976914133,0.2045909163719568,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,1.0,totalvi,8.0,1027.0,0.8975594477558506,0.8743914313534566,0.8895514509925514,0.1256085686465433,0.8575473489753285,0.430508928730992,0.3639204204082489,0.188540518283844,0.0317030464314439,0.0371658491821344,0.0295876957178074,0.0545825091806347,0.0212850576892383,0.0083026380285691,0.1256085686465433,0.0865800865800865,0.0523114355231143,0.0361613351877607,0.0259740259740259,0.0214007782101167,0.652492187634882,0.2139436302778593,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,1.0,totalvi,9.0,1027.0,0.8939421122670914,0.8734177215189873,0.8878455789996551,0.1265822784810126,0.8587856959094419,0.4415157554216457,0.3427737355232239,0.1873127371072769,0.0367909730235232,0.0372886075597427,0.0291785311825046,0.0555055064474896,0.0207441786322735,0.008434352550231,0.1265822784810126,0.0887445887445887,0.059610705596107,0.03894297635605,0.0275974025974026,0.0155642023346302,0.6388217134036532,0.1862740394881977,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
