direction,model,model_seed,coverage,n_retained,accuracy,risk,macro_f1,balanced_accuracy
pbmc5k_to_pbmc10k,scvi_matched,2,0.7,4175,0.9097005988023952,0.09029940119760482,0.6521069715982423,0.6480907486940707
pbmc5k_to_pbmc10k,scvi_matched,2,0.6,3578,0.941587479038569,0.058412520961431014,0.6944578686223615,0.677824431996704
pbmc5k_to_pbmc10k,scvi_matched,2,0.5,2982,0.9671361502347418,0.032863849765258246,0.7002840647597877,0.6753447151895242
pbmc5k_to_pbmc10k,scvi_matched,3,1.0,5964,0.755365526492287,0.24463447350771295,0.5844995089746119,0.5894752996994054
pbmc5k_to_pbmc10k,scvi_matched,3,0.9,5368,0.8111028315946349,0.18889716840536508,0.5930277238821635,0.5912752031443284
pbmc5k_to_pbmc10k,scvi_matched,3,0.8,4771,0.8568434290505135,0.14315657094948653,0.6009545376803463,0.5940815094567173
pbmc5k_to_pbmc10k,scvi_matched,3,0.7,4175,0.8972455089820359,0.10275449101796408,0.6006192669667452,0.5892976603916629
pbmc5k_to_pbmc10k,scvi_matched,3,0.6,3578,0.9387926215762996,0.06120737842370039,0.6059369308728946,0.5896261970810179
pbmc5k_to_pbmc10k,scvi_matched,3,0.5,2982,0.9701542588866533,0.029845741113346702,0.6247318918846275,0.6009924129924689
pbmc5k_to_pbmc10k,scvi_matched,4,1.0,5964,0.7518443997317237,0.24815560026827632,0.6208253115953314,0.6224898553337893
pbmc5k_to_pbmc10k,scvi_matched,4,0.9,5368,0.7989940387481371,0.20100596125186287,0.6375810856678438,0.6379405737029034
pbmc5k_to_pbmc10k,scvi_matched,4,0.8,4771,0.8375602599035842,0.16243974009641582,0.6496507412057029,0.6423862086101777
pbmc5k_to_pbmc10k,scvi_matched,4,0.7,4175,0.8811976047904192,0.1188023952095808,0.6528042587488668,0.6447331949116576
pbmc5k_to_pbmc10k,scvi_matched,4,0.6,3578,0.9225824482951369,0.07741755170486309,0.6421714317682161,0.6308285942332617
pbmc5k_to_pbmc10k,scvi_matched,4,0.5,2982,0.9550637156270959,0.04493628437290409,0.6571679701575903,0.6304730984420137
pbmc5k_to_pbmc10k,totalvi,0,1.0,5964,0.7845405767940979,0.21545942320590206,0.6157476799755611,0.6269622332487363
pbmc5k_to_pbmc10k,totalvi,0,0.9,5368,0.8347615499254843,0.16523845007451565,0.6201863769928417,0.6330199478695302
pbmc5k_to_pbmc10k,totalvi,0,0.8,4771,0.8813665898134563,0.11863341018654372,0.6292896630808746,0.6387431022568212
pbmc5k_to_pbmc10k,totalvi,0,0.7,4175,0.9262275449101797,0.07377245508982033,0.6566553167598095,0.6570426392223409
pbmc5k_to_pbmc10k,totalvi,0,0.6,3578,0.9555617663499162,0.044438233650083814,0.6683116811574659,0.6548501636086852
pbmc5k_to_pbmc10k,totalvi,0,0.5,2982,0.971495640509725,0.028504359490274966,0.6738391320279375,0.6529256580132018
pbmc5k_to_pbmc10k,totalvi,1,1.0,5964,0.7251844399731724,0.2748155600268276,0.6101999641645781,0.6201258724326871
pbmc5k_to_pbmc10k,totalvi,1,0.9,5368,0.7604321907600596,0.23956780923994037,0.6144778963178525,0.6262614721445356
pbmc5k_to_pbmc10k,totalvi,1,0.8,4771,0.79689792496332,0.20310207503667999,0.6149085157926625,0.6297607276859375
pbmc5k_to_pbmc10k,totalvi,1,0.7,4175,0.8349700598802395,0.16502994011976047,0.5884434111474798,0.6097454448676628
pbmc5k_to_pbmc10k,totalvi,1,0.6,3578,0.8798211291224147,0.12017887087758528,0.5837089754047593,0.6016032344671656
pbmc5k_to_pbmc10k,totalvi,1,0.5,2982,0.9232059020791415,0.07679409792085845,0.6124704024461953,0.6297627408550888
pbmc5k_to_pbmc10k,totalvi,2,1.0,5964,0.795439302481556,0.20456069751844397,0.6869075207835412,0.7004381766930136
