direction,model,model_seed,scheme,bin,bin_lower,bin_upper,n_cells,mean_confidence,empirical_accuracy,gap
pbmc10k_to_pbmc5k,scvi_matched,2,equal_width,13,0.8666666666666667,0.9333333333333333,309,0.9016619920730591,0.8802588996763754,-0.0214030923966837
pbmc10k_to_pbmc5k,scvi_matched,2,equal_width,14,0.9333333333333333,1.0,1574,0.9878547191619873,0.9764930114358322,-0.01136170772615508
pbmc10k_to_pbmc5k,scvi_matched,3,equal_frequency,0,0.18488924205303192,0.4429200033346812,225,0.369436115026474,0.3688888888888889,-0.0005472261375851217
pbmc10k_to_pbmc5k,scvi_matched,3,equal_frequency,1,0.4429200033346812,0.51853053967158,225,0.4842986464500427,0.48,-0.004298646450042742
pbmc10k_to_pbmc5k,scvi_matched,3,equal_frequency,2,0.51853053967158,0.5909299731254578,224,0.5552858710289001,0.5758928571428571,0.02060698611395695
pbmc10k_to_pbmc5k,scvi_matched,3,equal_frequency,3,0.5909299731254578,0.6606216788291931,225,0.6243796348571777,0.6266666666666667,0.0022870318094889708
pbmc10k_to_pbmc5k,scvi_matched,3,equal_frequency,4,0.6606216788291931,0.7280998031298319,224,0.6958157420158386,0.65625,-0.03956574201583862
pbmc10k_to_pbmc5k,scvi_matched,3,equal_frequency,5,0.7280998031298319,0.7975231885910035,225,0.7627438902854919,0.7466666666666667,-0.016077223618825243
pbmc10k_to_pbmc5k,scvi_matched,3,equal_frequency,6,0.7975231885910035,0.8647504766782125,224,0.8283067941665649,0.78125,-0.04705679416656494
pbmc10k_to_pbmc5k,scvi_matched,3,equal_frequency,7,0.8647504766782125,0.9256924390792847,225,0.896240234375,0.9111111111111111,0.014870876736111094
pbmc10k_to_pbmc5k,scvi_matched,3,equal_frequency,8,0.9256924390792847,0.9677473306655884,224,0.9504762291908264,0.9330357142857143,-0.017440514905112114
pbmc10k_to_pbmc5k,scvi_matched,3,equal_frequency,9,0.9677473306655884,0.9865482052167257,225,0.978742241859436,0.9733333333333334,-0.0054089085261026515
pbmc10k_to_pbmc5k,scvi_matched,3,equal_frequency,10,0.9865482052167257,0.9942176659901937,224,0.9910399317741394,0.9955357142857143,0.004495782511574897
pbmc10k_to_pbmc5k,scvi_matched,3,equal_frequency,11,0.9942176659901937,0.997185230255127,225,0.9959442615509033,0.9911111111111112,-0.004833150439792155
pbmc10k_to_pbmc5k,scvi_matched,3,equal_frequency,12,0.997185230255127,0.9986753225326538,224,0.998048722743988,1.0,0.0019512772560119629
pbmc10k_to_pbmc5k,scvi_matched,3,equal_frequency,13,0.9986753225326538,0.9994357784589132,225,0.9990795850753784,1.0,0.000920414924621582
pbmc10k_to_pbmc5k,scvi_matched,3,equal_frequency,14,0.9994357784589132,0.9999996423721313,225,0.999752938747406,1.0,0.00024706125259399414
pbmc10k_to_pbmc5k,scvi_matched,3,equal_width,2,0.13333333333333333,0.2,1,0.18488924205303192,0.0,-0.18488924205303192
pbmc10k_to_pbmc5k,scvi_matched,3,equal_width,3,0.2,0.26666666666666666,17,0.2430155724287033,0.4117647058823529,0.1687491334536496
pbmc10k_to_pbmc5k,scvi_matched,3,equal_width,4,0.26666666666666666,0.3333333333333333,39,0.3050033748149872,0.20512820512820512,-0.09987516968678206
pbmc10k_to_pbmc5k,scvi_matched,3,equal_width,5,0.3333333333333333,0.4,76,0.3702513575553894,0.3684210526315789,-0.0018303049238104774
pbmc10k_to_pbmc5k,scvi_matched,3,equal_width,6,0.4,0.4666666666666667,146,0.4334253668785095,0.4246575342465753,-0.008767832631934203
pbmc10k_to_pbmc5k,scvi_matched,3,equal_width,7,0.4666666666666667,0.5333333333333333,208,0.4996456801891327,0.5288461538461539,0.029200473657021164
pbmc10k_to_pbmc5k,scvi_matched,3,equal_width,8,0.5333333333333333,0.6,217,0.5658573508262634,0.576036866359447,0.010179515533183525
pbmc10k_to_pbmc5k,scvi_matched,3,equal_width,9,0.6,0.6666666666666666,213,0.6317621469497681,0.6150234741784038,-0.016738672771364316
pbmc10k_to_pbmc5k,scvi_matched,3,equal_width,10,0.6666666666666666,0.7333333333333333,222,0.7008916735649109,0.6666666666666666,-0.03422500689824426
pbmc10k_to_pbmc5k,scvi_matched,3,equal_width,11,0.7333333333333333,0.8,222,0.7671750783920288,0.7432432432432432,-0.023931835148785607
pbmc10k_to_pbmc5k,scvi_matched,3,equal_width,12,0.8,0.8666666666666667,220,0.8315697312355042,0.7909090909090909,-0.040660640326413255
pbmc10k_to_pbmc5k,scvi_matched,3,equal_width,13,0.8666666666666667,0.9333333333333333,239,0.900579035282135,0.9205020920502092,0.019923056768074154
pbmc10k_to_pbmc5k,scvi_matched,3,equal_width,14,0.9333333333333333,1.0,1549,0.9884644150733948,0.9851517107811492,-0.0033127042922456162
pbmc10k_to_pbmc5k,scvi_matched,4,equal_frequency,0,0.16079841554164886,0.4831987679004669,225,0.4107370972633362,0.4177777777777778,0.007040680514441622
pbmc10k_to_pbmc5k,scvi_matched,4,equal_frequency,1,0.4831987679004669,0.5583423574765524,225,0.5202586054801941,0.5022222222222222,-0.018036383257971855
pbmc10k_to_pbmc5k,scvi_matched,4,equal_frequency,2,0.5583423574765524,0.6257237553596496,224,0.5924565196037292,0.5625,-0.029956519603729248
pbmc10k_to_pbmc5k,scvi_matched,4,equal_frequency,3,0.6257237553596496,0.7012050231297811,225,0.665630042552948,0.5777777777777777,-0.08785226477517027
pbmc10k_to_pbmc5k,scvi_matched,4,equal_frequency,4,0.7012050231297811,0.7722881833712258,224,0.7370883226394653,0.6517857142857143,-0.08530260835375103
pbmc10k_to_pbmc5k,scvi_matched,4,equal_frequency,5,0.7722881833712258,0.837244176864624,225,0.8050137162208557,0.7244444444444444,-0.08056927177641127
pbmc10k_to_pbmc5k,scvi_matched,4,equal_frequency,6,0.837244176864624,0.892010215918223,224,0.8656392097473145,0.7857142857142857,-0.07992492403302875
pbmc10k_to_pbmc5k,scvi_matched,4,equal_frequency,7,0.892010215918223,0.9383500814437866,225,0.916612982749939,0.8577777777777778,-0.058835204972161215
pbmc10k_to_pbmc5k,scvi_matched,4,equal_frequency,8,0.9383500814437866,0.9754155516624451,224,0.9588866829872131,0.9241071428571429,-0.03477954013007023
pbmc10k_to_pbmc5k,scvi_matched,4,equal_frequency,9,0.9754155516624451,0.9905885855356852,225,0.9846094846725464,0.96,-0.024609484672546422
pbmc10k_to_pbmc5k,scvi_matched,4,equal_frequency,10,0.9905885855356852,0.9958204666773478,224,0.9935768246650696,0.9866071428571429,-0.006969681807926675
pbmc10k_to_pbmc5k,scvi_matched,4,equal_frequency,11,0.9958204666773478,0.9980313897132873,225,0.9970657229423523,0.9955555555555555,-0.001510167386796768
pbmc10k_to_pbmc5k,scvi_matched,4,equal_frequency,12,0.9980313897132873,0.9990027626355489,224,0.9985851645469666,0.9955357142857143,-0.003049450261252251
pbmc10k_to_pbmc5k,scvi_matched,4,equal_frequency,13,0.9990027626355489,0.9995598435401917,225,0.9993113875389099,1.0,0.0006886124610900879
pbmc10k_to_pbmc5k,scvi_matched,4,equal_frequency,14,0.9995598435401917,0.9999988079071045,225,0.9997861981391907,1.0,0.00021380186080932617
pbmc10k_to_pbmc5k,scvi_matched,4,equal_width,2,0.13333333333333333,0.2,1,0.16079841554164886,0.0,-0.16079841554164886
pbmc10k_to_pbmc5k,scvi_matched,4,equal_width,3,0.2,0.26666666666666666,1,0.2240513563156128,1.0,0.7759486436843872
pbmc10k_to_pbmc5k,scvi_matched,4,equal_width,4,0.26666666666666666,0.3333333333333333,30,0.3038930892944336,0.26666666666666666,-0.03722642262776693
pbmc10k_to_pbmc5k,scvi_matched,4,equal_width,5,0.3333333333333333,0.4,48,0.37018847465515137,0.3333333333333333,-0.03685514132181805
pbmc10k_to_pbmc5k,scvi_matched,4,equal_width,6,0.4,0.4666666666666667,104,0.4393569529056549,0.4519230769230769,0.01256612401742202
pbmc10k_to_pbmc5k,scvi_matched,4,equal_width,7,0.4666666666666667,0.5333333333333333,201,0.5024056434631348,0.4975124378109453,-0.004893205652189481
pbmc10k_to_pbmc5k,scvi_matched,4,equal_width,8,0.5333333333333333,0.6,197,0.5686236023902893,0.5431472081218274,-0.025476394268461933
pbmc10k_to_pbmc5k,scvi_matched,4,equal_width,9,0.6,0.6666666666666666,205,0.6309241056442261,0.6,-0.030924105644226096
pbmc10k_to_pbmc5k,scvi_matched,4,equal_width,10,0.6666666666666666,0.7333333333333333,210,0.7001902461051941,0.5857142857142857,-0.11447596039090835
pbmc10k_to_pbmc5k,scvi_matched,4,equal_width,11,0.7333333333333333,0.8,224,0.7671149373054504,0.6741071428571429,-0.09300779444830753
pbmc10k_to_pbmc5k,scvi_matched,4,equal_width,12,0.8,0.8666666666666667,240,0.8342711925506592,0.7541666666666667,-0.08010452588399253
pbmc10k_to_pbmc5k,scvi_matched,4,equal_width,13,0.8666666666666667,0.9333333333333333,305,0.901328980922699,0.839344262295082,-0.06198471862761701
pbmc10k_to_pbmc5k,scvi_matched,4,equal_width,14,0.9333333333333333,1.0,1603,0.9892246127128601,0.9787897691827823,-0.010434843530077842
pbmc10k_to_pbmc5k,totalvi,0,equal_frequency,0,0.20658640563488007,0.504865038394928,225,0.4309462606906891,0.37333333333333335,-0.05761292735735574
pbmc10k_to_pbmc5k,totalvi,0,equal_frequency,1,0.504865038394928,0.5835093259811401,225,0.5415075421333313,0.4622222222222222,-0.0792853199111091
pbmc10k_to_pbmc5k,totalvi,0,equal_frequency,2,0.5835093259811401,0.6618181109428406,224,0.620682418346405,0.5535714285714286,-0.06711098977497643
pbmc10k_to_pbmc5k,totalvi,0,equal_frequency,3,0.6618181109428406,0.7336646795272828,225,0.6998645067214966,0.6933333333333334,-0.006531173388163225
pbmc10k_to_pbmc5k,totalvi,0,equal_frequency,4,0.7336646795272828,0.790841261545817,224,0.7628299593925476,0.75,-0.012829959392547607
pbmc10k_to_pbmc5k,totalvi,0,equal_frequency,5,0.790841261545817,0.8460530042648315,225,0.81888747215271,0.7511111111111111,-0.0677763610415989
