condition,direction,subsample_seed,model_seed,model,source_n,target_n,label_level,evaluation_class_set,n_classes,target_coverage,classifier,accuracy,balanced_accuracy,macro_f1,weighted_f1,neighbor_agreement_k15,neighbor_agreement_k30,neighbor_agreement_k50,source_training_epochs,query_adaptation_epochs,source_runtime,query_runtime,gpu_peak_allocated_mb,gpu_peak_reserved_mb,process_peak_rss_mb,source_latent_drift,target_asw,target_knn_purity_15
original_B,pbmc5k_to_pbmc10k,,4,scvi_matched,3994,6855,l2,common,19,0.9695181907571289,logreg,0.7518593644354293,0.6122723261383219,0.6043105700464109,0.7236064515517918,0.6418075276087447,0.6282172639170611,0.6155848546315078,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,4,scvi_matched,3994,6855,l2,common,19,0.9695181907571289,knn15,0.7043610547667343,0.49916066657337954,0.4875393858901243,0.649799831405979,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,4,scvi_matched,3994,6855,l2,common,19,0.9695181907571289,knn30,0.6942190669371197,0.48485532653372,0.4718273721507492,0.633892911153121,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,4,totalvi,3994,6855,l2,common,19,0.9695181907571289,logreg,0.8132183908045977,0.6693078957376336,0.6759971701322018,0.7964921068796056,0.6849673202614379,0.6659229208924949,0.6489925625422583,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,4,totalvi,3994,6855,l2,common,19,0.9695181907571289,knn15,0.7483096686950642,0.5401345997172536,0.5493920590119836,0.7132967720226177,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,4,totalvi,3994,6855,l2,common,19,0.9695181907571289,knn30,0.7308992562542258,0.5087218854291173,0.505684753809202,0.6815933445637627,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,0,scvi_matched,3994,6855,l1,common,8,1.0,logreg,0.8656178302196001,0.7643320569898133,0.8027547691537762,0.8505855957075484,0.7690483994318803,0.7613350813940785,0.7542903965912816,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,0,scvi_matched,3994,6855,l1,common,8,1.0,knn15,0.8182563094067519,0.7015761819914121,0.7226225913641101,0.7900436970694549,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,0,scvi_matched,3994,6855,l1,common,8,1.0,knn30,0.8159619796787938,0.692765857172841,0.7127439649954894,0.784063141162875,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,0,totalvi,3994,6855,l1,common,8,1.0,logreg,0.9196984595214683,0.8439783605222605,0.8770161907588205,0.9159628813807615,0.8006992242980444,0.7886102917076369,0.7766535562110782,,,,,,,,,,
