subsample_seed,label_level,cell_type,full_source_count,subsample_count,full_source_fraction,subsample_fraction,absolute_fraction_difference
4,l2,CD4 CTL,26,15,0.0037928519328956968,0.003755633450175263,3.7218482720433824e-05
4,l2,CD4 Naive,904,525,0.13187454412837346,0.1314471707561342,0.0004273733722392481
4,l2,CD4 Proliferating,8,6,0.0011670313639679066,0.0015022533800701052,0.0003352220161021986
4,l2,CD4 TCM,659,390,0.09613420860685631,0.09764646970455683,0.0015122610977005152
4,l2,CD4 TEM,330,200,0.04814004376367615,0.0500751126690035,0.0019350689053273529
4,l2,CD8 Naive,337,189,0.04916119620714807,0.04732098147220831,0.0018402147349397546
4,l2,CD8 Proliferating,30,20,0.00437636761487965,0.005007511266900351,0.0006311436520207011
4,l2,CD8 TCM,98,50,0.014296134208606856,0.012518778167250876,0.0017773560413559802
4,l2,CD8 TEM,295,180,0.043034281546316555,0.045067601402103155,0.0020333198557866
4,l2,Eryth,212,118,0.030926331145149526,0.02954431647471207,0.0013820146704374564
4,l2,HSPC,5,3,0.0007293946024799417,0.0007511266900350526,2.173208755511095e-05
4,l2,ILC,95,58,0.013858497447118891,0.014521782674011016,0.0006632852268921244
4,l2,MAIT,368,227,0.05368344274252371,0.05683525287931898,0.0031518101367952744
4,l2,NK,790,450,0.11524434719183078,0.11266900350525788,0.0025753436865729035
4,l2,NK Proliferating,33,16,0.004814004376367615,0.00400600901352028,0.0008079953628473352
4,l2,NK_CD56bright,38,20,0.0055433989788475566,0.005007511266900351,0.0005358877119472057
4,l2,Plasmablast,11,8,0.0016046681254558717,0.00200300450676014,0.00039833638130426833
4,l2,Platelet,5,2,0.0007293946024799417,0.000500751126690035,0.00022864347578990666
4,l2,Treg,290,156,0.04230488694383661,0.03905858788182273,0.0032462990620138812
4,l2,cDC1,3,1,0.000437636761487965,0.0002503755633450175,0.0001872611981429475
4,l2,cDC2,140,82,0.020423048869438368,0.020530796194291438,0.00010774732485306984
4,l2,dnT,129,80,0.018818380743982493,0.020030045067601403,0.0012116643236189106
4,l2,gdT,68,39,0.009919766593727206,0.009764646970455683,0.00015511962327152337
4,l2,pDC,26,18,0.0037928519328956968,0.004506760140210316,0.0007139082073146191
4,l1,B,510,316,0.07439824945295405,0.07911867801702553,0.004720428564071483
4,l1,CD4 T,2217,1292,0.32341356673960614,0.32348522784176265,7.166110215650612e-05
4,l1,CD8 T,760,439,0.11086797957695113,0.1099148723084627,0.0009531072684884345
4,l1,DC,172,103,0.02509117432530999,0.025788683024536806,0.0006975086992268148
