model,source_subset_seed,model_seed,replicate,run_replicate_seed,accuracy,balanced_accuracy,macro_f1,weighted_f1,error_auroc,error_auprc,error_prevalence,nll,brier,ece,aurc,n_source_eval,n_target_eval
scvi_matched,1,4,0,,0.7652042360060515,0.604576734537746,0.5920945613951477,0.7546624751741943,0.8355988064228148,0.5568555749951024,0.23479576399394855,0.6241543097630502,0.31826424575068774,0.03343300011442938,0.07314353115776193,3470,3305
scvi_matched,1,4,1,91014.0,0.75642965204236,0.5777248175650449,0.5660293209945475,0.7455738307468543,0.822312546583851,0.53565843337461,0.24357034795763993,0.6567426288764452,0.3361162987793347,0.059928047206145724,0.08139590259124344,3470,3305
totalvi,1,0,0,,0.8084720121028744,0.639530988822359,0.615428856056778,0.7867113017605972,0.8332736186394982,0.48641973538846794,0.19152798789712558,0.541419595350719,0.2746428689364499,0.015056124523439855,0.05726583169620133,3470,3305
totalvi,1,0,1,91010.0,0.8006051437216339,0.6355746982890949,0.6252081468943886,0.7822300977537525,0.8265736238855683,0.4668094927681278,0.19939485627836612,0.5707831696967172,0.28570716290339515,0.03187266250060653,0.06038799755461678,3470,3305
totalvi,1,1,0,,0.7763993948562784,0.6060436178254435,0.5824405046510275,0.7567630885302877,0.8356231747099839,0.5516484360351406,0.22360060514372163,0.6188792282760845,0.3089944190050004,0.03014208304719738,0.06919624109731771,3470,3305
totalvi,1,1,1,91011.0,0.7903177004538577,0.6437049369266457,0.6127116589636461,0.7790760822974299,0.8324913983413217,0.5132648279626724,0.2096822995461422,0.5958448756890908,0.2942946298782437,0.026916876656204777,0.06384830075219605,3470,3305
totalvi,1,2,0,,0.8045385779122541,0.6097232652606663,0.608440818853398,0.7797805490382775,0.8522309301781321,0.5519688839392822,0.19546142208774583,0.5386506148370213,0.2719669484645819,0.028769110993069353,0.053435525541405036,3470,3305
totalvi,1,2,1,91012.0,0.8045385779122541,0.6100705320675671,0.5976453748439403,0.7751132254632864,0.8628258254866642,0.5607760379613156,0.19546142208774583,0.5534024758394761,0.2722806831030403,0.025258023565728063,0.050734757135901073,3470,3305
totalvi,1,3,0,,0.8099848714069592,0.6366804669816815,0.6267584221117632,0.7907356549829959,0.846137419727854,0.530842003930679,0.19001512859304084,0.5422016673751506,0.2710035697600806,0.013913021749519538,0.05288250452775936,3470,3305
totalvi,1,3,1,91013.0,0.7975794251134645,0.6050893533502023,0.6002832663638257,0.7696420343974991,0.8456940919225804,0.5291920271883503,0.20242057488653556,0.557424907531175,0.28390778289998275,0.028905160109682995,0.05784309551842621,3470,3305
totalvi,1,4,0,,0.7987897125567323,0.621828015362442,0.6213127925577884,0.7802178025653441,0.8194412166780588,0.49111091295091797,0.20121028744326777,0.6091023328496119,0.29166726057212194,0.02598762235374566,0.06401392509870509,3470,3305
totalvi,1,4,1,91014.0,0.8,0.611801283205661,0.6001891379653672,0.771033507020192,0.8339556807752432,0.5201836894836318,0.2,0.5542212720420213,0.28731543180280616,0.041466505237137845,0.05985859817451713,3470,3305
scvi_matched,2,0,0,,0.7767019667170953,0.6112418407551563,0.6080094158169087,0.7665996858041659,0.8426035896510115,0.5528429025834418,0.22329803328290468,0.6039980620751507,0.30743907917888125,0.04311459114079035,0.06642224423952042,3497,3305
scvi_matched,2,0,1,91020.0,0.7576399394856278,0.6106595421119069,0.591364684115394,0.7484722176561668,0.848160296833431,0.5670123818210321,0.24236006051437217,0.641893747991753,0.32849954111493673,0.05383182223012698,0.07178299989991381,3497,3305
scvi_matched,2,1,0,,0.7585476550680786,0.6295370247241687,0.5950556500308146,0.7551867329156723,0.8432399307003048,0.5680543557308407,0.24145234493192133,0.6491467121452971,0.32816146833446,0.03825995066342664,0.07368167159102805,3497,3305
scvi_matched,2,1,1,91021.0,0.7809379727685325,0.633994511879328,0.6193018269892765,0.771120831055163,0.8315462977431765,0.5244201432220258,0.21906202723146748,0.6126533633856671,0.3079026168512581,0.03312554401817554,0.06735927753687766,3497,3305
scvi_matched,2,2,0,,0.7691376701966717,0.6108289315210718,0.6057444498441515,0.7601101671686198,0.8266547944725209,0.537962902984916,0.2308623298033283,0.6376294418033204,0.3206509272390341,0.0319578627955715,0.07433944743257322,3497,3305
scvi_matched,2,2,1,91022.0,0.7476550680786687,0.602754694537097,0.575573218278939,0.7378054827359558,0.8337520998983897,0.5715299854329108,0.25234493192133134,0.6584380671415199,0.34270110628489353,0.05211684339526199,0.08084388526432455,3497,3305
scvi_matched,2,3,0,,0.7304084720121029,0.5980125787162829,0.5815252185630706,0.7245220064118949,0.8336634317026475,0.5801494129762235,0.26959152798789715,0.7163673416606086,0.36308817120652737,0.05440902341151562,0.08853800467734765,3497,3305
scvi_matched,2,3,1,91023.0,0.7531013615733737,0.5906280533751553,0.5621172162913457,0.7434229549664242,0.8417007873860674,0.57442278147491,0.24689863842662632,0.6821828442496369,0.33749028216285953,0.04152415617511419,0.07607795115164832,3497,3305
scvi_matched,2,4,0,,0.75642965204236,0.5988385636022395,0.5808225752561109,0.7502240488023146,0.8429873291925465,0.58226995382905,0.24357034795763993,0.6627117899063257,0.33182678324913634,0.05277749052026088,0.07475786603213219,3497,3305
scvi_matched,2,4,1,91024.0,0.7655068078668684,0.622036644296808,0.5934864148290289,0.7560753172013659,0.8477220451357897,0.5884396283966651,0.2344931921331316,0.6250090610613142,0.3160929812468353,0.03834214700152041,0.06989438543046687,3497,3305
